Date	Allegheny Center	Allegheny Center lower	Allegheny Center upper	Allegheny West	Allegheny West lower	Allegheny West upper	Allentown	Allentown lower	Allentown upper	Arlington	Arlington lower	Arlington upper	Banksville	Banksville lower	Banksville upper	Beechview	Beechview lower	Beechview upper	Bloomfield	Bloomfield lower	Bloomfield upper	Bluff	Bluff lower	Bluff upper	Bon Air	Bon Air lower	Bon Air upper	Brighton Heights	Brighton Heights lower	Brighton Heights upper	Brookline	Brookline lower	Brookline upper	California-Kirkbride	California-Kirkbride lower	California-Kirkbride upper	Carrick	Carrick lower	Carrick upper	Central Business District	Central Business District lower	Central Business District upper	Central Lawrenceville	Central Lawrenceville lower	Central Lawrenceville upper	Central Northside	Central Northside lower	Central Northside upper	Chateau	Chateau lower	Chateau upper	Crawford Roberts	Crawford Roberts lower	Crawford Roberts upper	Dormont	Dormont lower	Dormont upper	Duquesne Heights	Duquesne Heights lower	Duquesne Heights upper	East Allegheny	East Allegheny lower	East Allegheny upper	East Hills	East Hills lower	East Hills upper	East Liberty	East Liberty lower	East Liberty upper	Elliott	Elliott lower	Elliott upper	Fairywood	Fairywood lower	Fairywood upper	Garfield	Garfield lower	Garfield upper	Greenfield	Greenfield lower	Greenfield upper	Hazelwood	Hazelwood lower	Hazelwood upper	Herrs Island	Herrs Island lower	Herrs Island upper	Highland Park	Highland Park lower	Highland Park upper	Homewood South	Homewood South lower	Homewood South upper	Homewood West	Homewood West lower	Homewood West upper	Knoxville	Knoxville lower	Knoxville upper	Larimer	Larimer lower	Larimer upper	Lincoln Place	Lincoln Place lower	Lincoln Place upper	Lower Lawrenceville	Lower Lawrenceville lower	Lower Lawrenceville upper	Marshall - Shadeland	Marshall - Shadeland lower	Marshall - Shadeland upper	Middle Hill	Middle Hill lower	Middle Hill upper	Morningside	Morningside lower	Morningside upper	Mount Lebanon	Mount Lebanon lower	Mount Lebanon upper	Mount Washington	Mount Washington lower	Mount Washington upper	North Oakland	North Oakland lower	North Oakland upper	North Shore	North Shore lower	North Shore upper	Oakwood	Oakwood lower	Oakwood upper	Overbrook	Overbrook lower	Overbrook upper	Perry North	Perry North lower	Perry North upper	Perry South	Perry South lower	Perry South upper	Point Breeze North	Point Breeze North lower	Point Breeze North upper	Polish Hill	Polish Hill lower	Polish Hill upper	Regent Square	Regent Square lower	Regent Square upper	Ridgemont	Ridgemont lower	Ridgemont upper	Shadyside	Shadyside lower	Shadyside upper	South Shore	South Shore lower	South Shore upper	Southside Flats	Southside Flats lower	Southside Flats upper	Southside Slopes	Southside Slopes lower	Southside Slopes upper	Squirrel Hill North	Squirrel Hill North lower	Squirrel Hill North upper	Squirrel Hill South	Squirrel Hill South lower	Squirrel Hill South upper	Strip District	Strip District lower	Strip District upper	Swisshelm Park	Swisshelm Park lower	Swisshelm Park upper	Troy Hill	Troy Hill lower	Troy Hill upper	Upper Lawrenceville	Upper Lawrenceville lower	Upper Lawrenceville upper	West End	West End lower	West End upper
2017-12-01	0.0	0.0	1.0	12.0	8.0	18.0	7.0	4.0	11.0	0.0	-0.0	0.0	5.0	3.0	7.0	4.0	2.0	6.0	86.0	74.0	100.0	14.0	10.0	20.0	0.0	-0.0	0.0	1.0	0.0	2.0	8.0	5.0	13.0	1.0	0.0	1.0	4.0	2.0	6.0	438.0	387.0	496.0	95.0	70.0	130.0	16.0	11.0	22.0	9.0	6.0	13.0	1.0	0.0	1.0	17.0	12.0	25.0	11.0	8.0	16.0	10.0	7.0	14.0	0.0	-0.0	0.0	41.0	30.0	56.0	0.0	-0.0	0.0	0.0	-0.0	1.0	6.0	4.0	9.0	6.0	4.0	9.0	1.0	0.0	1.0	0.0	-0.0	1.0	10.0	7.0	14.0	0.0	-0.0	1.0	1.0	0.0	1.0	-0.0	-0.0	0.0	4.0	2.0	8.0	1.0	0.0	1.0	62.0	52.0	73.0	1.0	1.0	2.0	-0.0	-0.0	-0.0	1.0	1.0	2.0	62.0	48.0	81.0	52.0	36.0	73.0	67.0	55.0	81.0	52.0	40.0	67.0	4.0	3.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	2.0	9.0	5.0	15.0	0.0	-0.0	0.0	119.0	99.0	143.0	20.0	16.0	25.0	141.0	120.0	166.0	-0.0	-0.0	0.0	16.0	11.0	22.0	88.0	74.0	104.0	164.0	138.0	194.0	0.0	-0.0	0.0	7.0	4.0	10.0	18.0	13.0	25.0	0.0	-0.0	1.0
2018-01-01	1.0	0.0	1.0	12.0	7.0	21.0	9.0	6.0	15.0	0.0	-0.0	0.0	5.0	3.0	8.0	5.0	2.0	9.0	87.0	70.0	107.0	13.0	9.0	19.0	0.0	-0.0	1.0	1.0	-0.0	2.0	9.0	6.0	15.0	1.0	1.0	2.0	1.0	0.0	2.0	471.0	408.0	544.0	112.0	73.0	173.0	19.0	13.0	26.0	9.0	6.0	13.0	1.0	0.0	1.0	31.0	22.0	45.0	14.0	10.0	20.0	13.0	9.0	18.0	0.0	-0.0	0.0	59.0	39.0	91.0	0.0	-0.0	0.0	0.0	-0.0	1.0	19.0	12.0	29.0	6.0	4.0	9.0	1.0	1.0	2.0	0.0	-0.0	1.0	11.0	7.0	18.0	8.0	5.0	12.0	1.0	1.0	2.0	0.0	-0.0	0.0	5.0	3.0	10.0	1.0	0.0	1.0	63.0	53.0	76.0	2.0	2.0	3.0	1.0	0.0	2.0	1.0	0.0	2.0	62.0	47.0	83.0	48.0	33.0	70.0	69.0	56.0	85.0	49.0	36.0	66.0	3.0	1.0	4.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	1.0	9.0	4.0	18.0	0.0	-0.0	0.0	158.0	128.0	195.0	24.0	19.0	30.0	191.0	156.0	236.0	-0.0	-0.0	0.0	24.0	17.0	35.0	104.0	81.0	132.0	238.0	197.0	288.0	0.0	-0.0	0.0	7.0	4.0	10.0	18.0	13.0	26.0	0.0	-0.0	1.0
2018-02-01	1.0	0.0	1.0	12.0	6.0	23.0	8.0	5.0	13.0	0.0	-0.0	0.0	5.0	3.0	8.0	4.0	2.0	10.0	87.0	67.0	113.0	12.0	8.0	17.0	0.0	-0.0	1.0	2.0	1.0	4.0	11.0	6.0	18.0	2.0	1.0	3.0	3.0	1.0	4.0	469.0	401.0	549.0	125.0	73.0	212.0	12.0	9.0	18.0	9.0	6.0	13.0	1.0	0.0	1.0	29.0	20.0	41.0	12.0	8.0	18.0	10.0	7.0	15.0	0.0	-0.0	0.0	65.0	38.0	109.0	0.0	0.0	1.0	0.0	-1.0	1.0	16.0	10.0	25.0	6.0	3.0	10.0	1.0	0.0	2.0	0.0	-0.0	1.0	11.0	6.0	19.0	3.0	2.0	5.0	1.0	1.0	2.0	-0.0	-0.0	0.0	5.0	3.0	9.0	1.0	0.0	1.0	63.0	52.0	76.0	2.0	1.0	3.0	2.0	1.0	3.0	1.0	0.0	2.0	62.0	46.0	84.0	36.0	24.0	53.0	58.0	44.0	75.0	49.0	34.0	70.0	3.0	2.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	-0.0	0.0	1.0	0.0	2.0	1.0	-0.0	2.0	9.0	4.0	21.0	0.0	-0.0	0.0	142.0	110.0	182.0	19.0	15.0	24.0	149.0	118.0	188.0	-0.0	-0.0	0.0	20.0	14.0	29.0	89.0	66.0	120.0	178.0	147.0	215.0	0.0	-0.0	0.0	7.0	4.0	10.0	23.0	16.0	33.0	0.0	-0.0	1.0
2018-03-01	0.0	-0.0	1.0	12.0	5.0	26.0	11.0	7.0	18.0	0.0	-0.0	0.0	5.0	3.0	9.0	4.0	1.0	11.0	86.0	64.0	117.0	15.0	10.0	22.0	0.0	-0.0	1.0	4.0	2.0	7.0	12.0	7.0	21.0	1.0	1.0	2.0	8.0	5.0	13.0	493.0	417.0	583.0	107.0	58.0	197.0	13.0	9.0	19.0	8.0	5.0	12.0	1.0	0.0	1.0	27.0	18.0	39.0	18.0	12.0	27.0	10.0	7.0	15.0	0.0	-0.0	0.0	56.0	30.0	103.0	0.0	0.0	1.0	0.0	-1.0	1.0	16.0	10.0	24.0	6.0	3.0	11.0	1.0	0.0	2.0	0.0	-0.0	1.0	12.0	6.0	22.0	0.0	-0.0	1.0	2.0	1.0	3.0	1.0	0.0	2.0	4.0	2.0	7.0	1.0	0.0	1.0	59.0	48.0	72.0	2.0	1.0	3.0	1.0	1.0	2.0	2.0	1.0	3.0	62.0	45.0	86.0	41.0	28.0	61.0	73.0	55.0	97.0	48.0	33.0	71.0	4.0	2.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	1.0	9.0	3.0	24.0	0.0	0.0	0.0	137.0	103.0	181.0	22.0	18.0	28.0	178.0	139.0	227.0	0.0	0.0	1.0	28.0	19.0	40.0	99.0	70.0	140.0	214.0	177.0	259.0	0.0	-0.0	0.0	7.0	4.0	10.0	20.0	14.0	30.0	1.0	0.0	2.0
2018-04-01	1.0	0.0	2.0	12.0	5.0	28.0	12.0	8.0	19.0	0.0	-0.0	0.0	5.0	3.0	9.0	5.0	1.0	14.0	84.0	60.0	118.0	10.0	6.0	14.0	0.0	-0.0	1.0	6.0	3.0	11.0	12.0	6.0	22.0	1.0	1.0	2.0	5.0	3.0	8.0	494.0	414.0	590.0	143.0	72.0	282.0	12.0	8.0	16.0	8.0	6.0	13.0	1.0	0.0	1.0	24.0	16.0	35.0	13.0	9.0	20.0	12.0	8.0	18.0	0.0	-0.0	0.0	46.0	23.0	91.0	0.0	-0.0	0.0	0.0	-1.0	2.0	10.0	6.0	16.0	6.0	3.0	11.0	1.0	0.0	2.0	0.0	-0.0	1.0	12.0	6.0	24.0	1.0	0.0	2.0	1.0	0.0	2.0	0.0	-0.0	1.0	8.0	4.0	14.0	1.0	0.0	1.0	59.0	48.0	73.0	2.0	1.0	3.0	2.0	1.0	3.0	1.0	0.0	3.0	62.0	44.0	87.0	55.0	37.0	81.0	73.0	53.0	99.0	50.0	33.0	77.0	3.0	2.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	3.0	26.0	0.0	0.0	0.0	153.0	112.0	208.0	21.0	17.0	27.0	167.0	130.0	216.0	-0.0	-0.0	0.0	30.0	21.0	44.0	83.0	56.0	122.0	172.0	142.0	209.0	0.0	-0.0	0.0	7.0	4.0	10.0	24.0	16.0	35.0	0.0	-0.0	1.0
2018-05-01	1.0	0.0	2.0	12.0	4.0	30.0	16.0	10.0	24.0	0.0	-0.0	0.0	5.0	3.0	8.0	4.0	1.0	13.0	86.0	59.0	125.0	14.0	9.0	20.0	0.0	-0.0	1.0	5.0	3.0	9.0	20.0	11.0	37.0	2.0	1.0	3.0	1.0	0.0	2.0	506.0	420.0	609.0	127.0	60.0	269.0	13.0	9.0	19.0	9.0	6.0	13.0	1.0	0.0	1.0	29.0	20.0	43.0	18.0	12.0	27.0	10.0	6.0	15.0	0.0	-0.0	0.0	48.0	23.0	101.0	0.0	0.0	1.0	0.0	-1.0	2.0	12.0	7.0	19.0	6.0	3.0	12.0	1.0	0.0	2.0	2.0	1.0	4.0	10.0	5.0	23.0	1.0	0.0	2.0	2.0	1.0	2.0	-0.0	-0.0	1.0	5.0	3.0	10.0	1.0	0.0	1.0	60.0	48.0	74.0	2.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	3.0	62.0	44.0	89.0	67.0	44.0	99.0	62.0	44.0	87.0	55.0	35.0	87.0	3.0	2.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	2.0	29.0	0.0	-0.0	0.0	140.0	100.0	195.0	24.0	19.0	31.0	175.0	135.0	227.0	-0.0	-0.0	0.0	34.0	23.0	49.0	93.0	61.0	142.0	235.0	194.0	284.0	0.0	-0.0	0.0	7.0	4.0	10.0	21.0	14.0	32.0	1.0	0.0	2.0
2018-06-01	0.0	-0.0	1.0	12.0	4.0	33.0	14.0	9.0	22.0	0.0	-0.0	0.0	5.0	3.0	8.0	5.0	1.0	18.0	85.0	57.0	127.0	14.0	9.0	21.0	0.0	-1.0	1.0	3.0	2.0	6.0	10.0	5.0	20.0	2.0	1.0	3.0	6.0	3.0	10.0	516.0	425.0	626.0	117.0	52.0	263.0	14.0	10.0	20.0	8.0	5.0	13.0	1.0	0.0	1.0	34.0	23.0	50.0	17.0	11.0	26.0	12.0	8.0	19.0	0.0	-0.0	0.0	51.0	23.0	114.0	0.0	0.0	1.0	0.0	-1.0	2.0	12.0	7.0	19.0	6.0	3.0	13.0	1.0	0.0	2.0	3.0	2.0	6.0	10.0	4.0	24.0	0.0	-0.0	1.0	3.0	2.0	4.0	-0.0	-0.0	1.0	5.0	2.0	9.0	1.0	0.0	1.0	62.0	50.0	78.0	2.0	1.0	2.0	-0.0	-0.0	0.0	1.0	0.0	3.0	62.0	43.0	90.0	60.0	40.0	91.0	72.0	50.0	103.0	58.0	35.0	94.0	3.0	1.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	2.0	32.0	0.0	-0.0	0.0	172.0	121.0	246.0	26.0	20.0	34.0	156.0	120.0	202.0	-0.0	-0.0	1.0	31.0	21.0	45.0	87.0	55.0	138.0	203.0	168.0	246.0	0.0	-0.0	0.0	7.0	4.0	11.0	23.0	15.0	34.0	0.0	-0.0	1.0
2018-07-01	1.0	-0.0	2.0	12.0	4.0	35.0	9.0	6.0	15.0	0.0	-0.0	0.0	5.0	3.0	7.0	5.0	1.0	18.0	85.0	55.0	130.0	6.0	4.0	10.0	0.0	-1.0	1.0	1.0	0.0	2.0	12.0	6.0	25.0	2.0	1.0	3.0	4.0	2.0	6.0	533.0	436.0	653.0	129.0	54.0	306.0	18.0	12.0	25.0	8.0	5.0	13.0	1.0	0.0	1.0	32.0	21.0	47.0	20.0	13.0	31.0	11.0	7.0	18.0	0.0	-0.0	0.0	48.0	20.0	113.0	0.0	0.0	1.0	0.0	-1.0	2.0	13.0	8.0	21.0	6.0	2.0	13.0	1.0	0.0	2.0	5.0	3.0	9.0	11.0	4.0	27.0	0.0	-0.0	1.0	2.0	1.0	3.0	0.0	-0.0	1.0	6.0	3.0	10.0	1.0	0.0	1.0	59.0	46.0	74.0	1.0	1.0	2.0	2.0	1.0	3.0	2.0	0.0	4.0	62.0	42.0	92.0	82.0	54.0	125.0	71.0	48.0	103.0	67.0	40.0	113.0	3.0	1.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	2.0	35.0	0.0	-0.0	0.0	172.0	118.0	251.0	26.0	20.0	33.0	184.0	141.0	240.0	-0.0	-0.0	1.0	29.0	19.0	43.0	96.0	59.0	156.0	200.0	165.0	242.0	0.0	-0.0	0.0	7.0	4.0	11.0	23.0	15.0	36.0	1.0	0.0	2.0
2018-08-01	1.0	-0.0	2.0	12.0	3.0	37.0	15.0	9.0	23.0	0.0	-0.0	0.0	5.0	3.0	8.0	7.0	1.0	26.0	86.0	54.0	135.0	15.0	10.0	23.0	0.0	-1.0	1.0	3.0	1.0	5.0	11.0	5.0	23.0	1.0	1.0	3.0	5.0	3.0	8.0	515.0	418.0	635.0	155.0	62.0	386.0	22.0	16.0	31.0	8.0	5.0	13.0	1.0	0.0	1.0	25.0	16.0	37.0	22.0	14.0	35.0	12.0	7.0	18.0	0.0	-0.0	0.0	49.0	19.0	121.0	0.0	0.0	1.0	0.0	-1.0	3.0	13.0	8.0	20.0	6.0	2.0	14.0	1.0	0.0	2.0	4.0	2.0	7.0	13.0	5.0	33.0	0.0	-0.0	1.0	3.0	2.0	5.0	-0.0	-1.0	1.0	6.0	3.0	11.0	1.0	0.0	1.0	58.0	46.0	74.0	1.0	1.0	2.0	3.0	2.0	4.0	1.0	0.0	3.0	62.0	41.0	93.0	54.0	35.0	82.0	70.0	47.0	104.0	67.0	38.0	115.0	3.0	1.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	-0.0	0.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	2.0	37.0	0.0	-0.0	0.0	165.0	111.0	245.0	29.0	22.0	37.0	155.0	119.0	203.0	-0.0	-0.0	1.0	26.0	17.0	39.0	107.0	64.0	179.0	223.0	184.0	269.0	0.0	-0.0	0.0	7.0	4.0	11.0	22.0	14.0	34.0	0.0	-0.0	1.0
2018-09-01	1.0	-0.0	2.0	12.0	3.0	39.0	14.0	9.0	22.0	0.0	-0.0	0.0	5.0	3.0	8.0	2.0	-0.0	11.0	86.0	53.0	138.0	10.0	6.0	15.0	0.0	-1.0	1.0	5.0	3.0	9.0	8.0	3.0	18.0	2.0	1.0	3.0	4.0	2.0	7.0	497.0	400.0	617.0	122.0	46.0	321.0	15.0	10.0	21.0	8.0	5.0	13.0	1.0	0.0	1.0	29.0	19.0	43.0	19.0	12.0	30.0	15.0	9.0	23.0	0.0	-0.0	0.0	41.0	15.0	107.0	0.0	0.0	1.0	0.0	-1.0	3.0	11.0	7.0	18.0	6.0	2.0	14.0	1.0	0.0	2.0	1.0	0.0	2.0	13.0	4.0	35.0	1.0	0.0	2.0	1.0	1.0	2.0	-0.0	-1.0	1.0	6.0	3.0	10.0	1.0	0.0	1.0	61.0	48.0	78.0	2.0	1.0	3.0	3.0	2.0	4.0	1.0	0.0	4.0	62.0	41.0	95.0	62.0	40.0	94.0	70.0	46.0	106.0	68.0	38.0	120.0	3.0	1.0	7.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	1.0	40.0	0.0	-0.0	0.0	156.0	103.0	236.0	24.0	18.0	31.0	137.0	105.0	179.0	-0.0	-0.0	1.0	25.0	16.0	38.0	98.0	57.0	169.0	146.0	121.0	177.0	0.0	-0.0	0.0	7.0	4.0	11.0	22.0	14.0	35.0	0.0	-0.0	1.0
2018-10-01	1.0	-0.0	2.0	12.0	3.0	42.0	9.0	5.0	14.0	0.0	-0.0	0.0	5.0	3.0	9.0	4.0	0.0	20.0	85.0	51.0	140.0	14.0	9.0	21.0	0.0	-1.0	1.0	2.0	1.0	4.0	9.0	4.0	20.0	1.0	1.0	3.0	2.0	1.0	3.0	507.0	405.0	635.0	142.0	52.0	391.0	12.0	8.0	16.0	8.0	5.0	13.0	1.0	0.0	1.0	33.0	21.0	49.0	18.0	11.0	29.0	13.0	8.0	21.0	0.0	-0.0	0.0	47.0	17.0	127.0	0.0	-0.0	0.0	0.0	-1.0	3.0	10.0	6.0	17.0	6.0	2.0	15.0	1.0	0.0	2.0	1.0	0.0	2.0	12.0	4.0	33.0	1.0	0.0	2.0	1.0	0.0	2.0	1.0	-0.0	3.0	4.0	2.0	7.0	1.0	0.0	1.0	57.0	44.0	74.0	2.0	1.0	2.0	-0.0	-0.0	-0.0	1.0	-0.0	4.0	63.0	41.0	96.0	45.0	29.0	69.0	61.0	39.0	94.0	66.0	36.0	119.0	3.0	1.0	6.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	2.0	9.0	1.0	43.0	0.0	-0.0	0.0	156.0	101.0	242.0	24.0	18.0	31.0	141.0	108.0	185.0	-0.0	-1.0	1.0	33.0	22.0	50.0	85.0	48.0	151.0	187.0	154.0	226.0	0.0	-0.0	0.0	7.0	4.0	11.0	20.0	13.0	32.0	0.0	-0.0	1.0
2018-11-01	1.0	-0.0	2.0	12.0	3.0	44.0	9.0	6.0	15.0	0.0	-0.0	0.0	5.0	3.0	8.0	4.0	0.0	18.0	86.0	51.0	145.0	12.0	8.0	19.0	0.0	-1.0	2.0	3.0	1.0	6.0	5.0	2.0	13.0	2.0	1.0	4.0	3.0	1.0	5.0	496.0	394.0	625.0	163.0	56.0	467.0	18.0	12.0	25.0	8.0	5.0	13.0	1.0	0.0	1.0	31.0	20.0	46.0	12.0	7.0	20.0	14.0	8.0	23.0	0.0	-0.0	0.0	49.0	17.0	140.0	0.0	-0.0	0.0	0.0	-1.0	4.0	11.0	7.0	18.0	6.0	2.0	15.0	1.0	0.0	2.0	0.0	-0.0	1.0	11.0	3.0	33.0	0.0	-0.0	1.0	1.0	1.0	2.0	0.0	-1.0	1.0	5.0	3.0	10.0	1.0	0.0	1.0	60.0	46.0	78.0	2.0	1.0	3.0	0.0	-0.0	0.0	1.0	-0.0	4.0	63.0	40.0	97.0	57.0	37.0	89.0	73.0	46.0	115.0	59.0	32.0	111.0	3.0	1.0	7.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	3.0	9.0	1.0	46.0	0.0	-0.0	0.0	153.0	97.0	241.0	23.0	18.0	31.0	136.0	104.0	178.0	0.0	-0.0	1.0	24.0	16.0	37.0	86.0	47.0	157.0	186.0	153.0	225.0	0.0	-0.0	0.0	7.0	4.0	11.0	21.0	13.0	33.0	1.0	0.0	2.0
2018-12-01	1.0	-0.0	2.0	12.0	3.0	46.0	8.0	5.0	14.0	0.0	-0.0	0.0	5.0	3.0	8.0	5.0	0.0	24.0	86.0	50.0	149.0	18.0	12.0	28.0	0.0	-1.0	2.0	1.0	-0.0	2.0	7.0	2.0	17.0	1.0	-0.0	1.0	3.0	1.0	6.0	498.0	391.0	635.0	159.0	52.0	480.0	25.0	18.0	35.0	8.0	5.0	13.0	1.0	0.0	1.0	21.0	13.0	33.0	11.0	6.0	19.0	15.0	9.0	25.0	0.0	-0.0	0.0	47.0	15.0	145.0	0.0	0.0	1.0	0.0	-1.0	4.0	9.0	5.0	14.0	6.0	2.0	16.0	1.0	0.0	2.0	0.0	-0.0	1.0	12.0	3.0	37.0	0.0	-0.0	1.0	1.0	0.0	1.0	-0.0	-1.0	1.0	4.0	2.0	8.0	1.0	0.0	1.0	59.0	46.0	78.0	2.0	1.0	3.0	-0.0	-0.0	0.0	1.0	-0.0	4.0	62.0	39.0	99.0	60.0	36.0	101.0	71.0	45.0	114.0	60.0	31.0	116.0	3.0	1.0	7.0	1.0	1.0	2.0	0.0	-0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	-0.0	3.0	9.0	1.0	50.0	0.0	-0.0	0.0	141.0	87.0	227.0	23.0	17.0	30.0	144.0	108.0	191.0	-0.0	-1.0	1.0	18.0	12.0	29.0	98.0	52.0	183.0	160.0	124.0	208.0	0.0	-0.0	0.0	7.0	4.0	11.0	19.0	12.0	32.0	0.0	-0.0	1.0
